Wbp,Fisher,type
1.2094889,8.1510965e-11,E
1.2062321,8.04926e-11,E
1.1597831,7.697296e-11,E
1.0854669,7.451593e-11,E
0.80348295,3.9864344e-11,E
0.8873696,4.6762934e-11,E
1.2823808,9.081677e-11,E
1.5599712,1.3530732e-10,E
1.2546328,9.845688e-11,E
0.91234154,5.0679988e-11,I
1.5494946,1.4270558e-10,E
1.441616,1.1593063e-10,I
1.4593208,1.3468918e-10,E
0.9375841,5.0260678e-11,E
1.1517813,6.897846e-11,E
1.1715811,9.2144216e-11,I
0.8825219,5.104637e-11,E
1.2275201,9.6820156e-11,E
1.3399881,1.0733112e-10,E
1.3209606,9.8005486e-11,E
1.5816318,1.5865392e-10,E
0.9976015,5.3504715e-11,E
1.2254083,8.765364e-11,E
1.4480426,1.3574479e-10,E
1.4101788,1.296711e-10,I
1.1449817,6.731808e-11,E
0.9947214,5.55339e-11,E
1.2929024,9.8003924e-11,E
0.9281677,6.007821e-11,I
1.0333587,6.457703e-11,E
1.3347986,9.9482665e-11,I
1.2237854,9.174003e-11,E
0.9853218,5.723667e-11,E
1.4475268,1.1161662e-10,I
1.2965335,1.03927755e-10,E
1.282339,1.0395942e-10,E
1.0982437,6.696479e-11,E
1.307054,1.0663196e-10,E
1.5177492,1.2616808e-10,E
1.0163842,6.9418846e-11,E
1.3097283,1.0424292e-10,E
1.199817,9.596321e-11,E
0.7821838,4.135034e-11,I
1.1943845,7.735793e-11,E
1.5014067,1.3439846e-10,E
1.1097667,8.327271e-11,E
1.2994606,1.04578464e-10,E
0.9895772,6.8349014e-11,E
1.339425,1.05878854e-10,I
1.232942,8.895594e-11,I
1.3008598,1.0639257e-10,E
1.234013,9.9165696e-11,E
1.204979,8.263437e-11,I
1.3650389,1.08608e-10,E
1.2587339,9.091105e-11,E
0.9705123,5.836688e-11,E
1.0341418,7.5249716e-11,I
1.3923763,1.1249675e-10,E
1.2934083,9.9709956e-11,I
1.4048873,1.11993394e-10,E
1.1066425,6.81095e-11,E
1.2883935,1.0184136e-10,E
0.96772736,5.855423e-11,E
